mac_id,total_times,total_days
1007111,11,1
1008912,11,1
1015182,11,1
1015615,11,1
103939,11,1
1043416,11,1
104595,11,1
1049058,11,1
1049846,11,1
1068439,11,1
1068906,11,1
1071969,11,1
1072971,11,1
1099371,11,1
1101658,11,1
1102279,11,1
1102292,11,1
1102313,11,1
1106708,11,1
1117347,11,1
1121978,11,1
1127971,11,1
1135594,11,1
1135701,11,1
113968,11,1
1141565,11,1
1147741,11,1
1154893,11,1
1159807,11,1
1162465,11,1
1167884,11,1
1169847,11,1
1172431,11,1
1175120,11,1
1175415,11,1
118790,11,1
120665,11,1
1220279,11,1
122450,11,1
122727,11,1
1264477,11,1
1290774,11,1
129456,11,1
130932,11,1
1312246,11,1
1334816,11,1
133529,11,1
134986,11,1
135477,11,1
1359078,11,1
1359584,11,1
1359870,11,1
1359921,11,1
1365834,11,1
1374526,11,1
1381173,11,1
1382277,11,1
1382552,11,1
1385274,11,1
1387768,11,1
1396413,11,1
1405885,11,1
1431849,11,1
1438177,11,1
1447552,11,1
1451008,11,1
1460164,11,1
1460698,11,1
1478356,11,1
1485467,11,1
1489009,11,1
1490986,11,1
1538503,11,1
154408,11,1
1563708,11,1
1601875,11,1
1603290,11,1
1634525,11,1
1673184,11,1
1743719,11,1
1759922,11,1
1770226,11,1
177981,11,1
1793720,11,1
1795908,11,1
1796522,11,1
181193,11,1
1818726,11,1
1825771,11,1
1838215,11,1
1863053,11,1
186405,11,1
1875187,11,1
1883282,11,1
1883938,11,1
189812,11,1
1901157,11,1
1903930,11,1
1930000,11,1
1931167,11,1
1934448,11,1
198846,11,1
1995611,11,1
2003500,11,1
2005945,11,1
2006722,11,1
2042771,11,1
2045698,11,1
2046064,11,1
2073286,11,1
2100628,11,1
2144987,11,1
216072,11,1
2172518,11,1
2194420,11,1
2195041,11,1
2228315,11,1
2262816,11,1
2264550,11,1
234929,11,1
235421,11,1
2360209,11,1
2361908,11,1
2365169,11,1
2382445,11,1
2397782,11,1
2439392,11,1
245224,11,1
2467178,11,1
2467361,11,1
246978,11,1
2491494,11,1
2531965,11,1
2532139,11,1
2538184,11,1
254630,11,1
2556890,11,1
2618236,11,1
2618893,11,1
2642127,11,1
2645035,11,1
2645314,11,1
2661332,11,1
266373,11,1
2707552,11,1
2728879,11,1
274018,11,1
2748245,11,1
2753530,11,1
2758941,11,1
2761181,11,1
2764902,11,1
2808950,11,1
2855251,11,1
286753,11,1
2884292,11,1
293319,11,1
2993866,11,1
3047290,11,1
3047833,11,1
3056665,11,1
3085091,11,1
310685,11,1
3107523,11,1
3189862,11,1
324156,11,1
3271974,11,1
327366,11,1
333926,11,1
334571,11,1
3351900,11,1
3354953,11,1
3366659,11,1
3421444,11,1
3422366,11,1
342672,11,1
344208,11,1
3458888,11,1
348440,11,1
349121,11,1
349885,11,1
3519329,11,1
3567238,11,1
3607516,11,1
3623196,11,1
363758,11,1
3654656,11,1
3666753,11,1
3675194,11,1
377954,11,1
3787151,11,1
3797122,11,1
3863830,11,1
3886540,11,1
3890735,11,1
3902750,11,1
3912989,11,1
4017435,11,1
4019317,11,1
4041304,11,1
4043267,11,1
4049965,11,1
4063180,11,1
4073479,11,1
4085655,11,1
4094433,11,1
410796,11,1
4114716,11,1
4131624,11,1
4141832,11,1
415458,11,1
415559,11,1
4157990,11,1
4166405,11,1
4169205,11,1
4181399,11,1
419546,11,1
420392,11,1
4226023,11,1
4261864,11,1
430976,11,1
431585,11,1
4332953,11,1
4361491,11,1
4363861,11,1
4408771,11,1
4432115,11,1
4433930,11,1
443718,11,1
4462024,11,1
4463504,11,1
4505636,11,1
4511281,11,1
4519553,11,1
451978,11,1
4520548,11,1
4531903,11,1
453849,11,1
4563603,11,1
4600831,11,1
4601277,11,1
4603256,11,1
4633308,11,1
4638542,11,1
466866,11,1
4669602,11,1
4674426,11,1
4701058,11,1
4707129,11,1
4708007,11,1
4716275,11,1
479863,11,1
4828873,11,1
483916,11,1
4846776,11,1
4849384,11,1
485769,11,1
4869832,11,1
4870580,11,1
4885110,11,1
4892873,11,1
4895206,11,1
4895775,11,1
4899207,11,1
4903348,11,1
4909582,11,1
4909982,11,1
4911148,11,1
4911326,11,1
4912508,11,1
4912831,11,1
4913955,11,1
4921446,11,1
4922315,11,1
4922621,11,1
4923919,11,1
4929347,11,1
4929704,11,1
4932539,11,1
4935784,11,1
4936100,11,1
4944434,11,1
4945983,11,1
4946099,11,1
4947436,11,1
4948265,11,1
4950106,11,1
4950732,11,1
4952296,11,1
4953018,11,1
4954745,11,1
4963609,11,1
4963714,11,1
4964211,11,1
4965421,11,1
4968042,11,1
4968147,11,1
4971357,11,1
4973521,11,1
4974066,11,1
4977077,11,1
4977155,11,1
4978803,11,1
4979454,11,1
4979652,11,1
4979970,11,1
4980633,11,1
4980803,11,1
4983084,11,1
4984246,11,1
4985843,11,1
4986600,11,1
4987298,11,1
4990907,11,1
4991326,11,1
4992667,11,1
4993704,11,1
4996355,11,1
4998582,11,1
5004993,11,1
5008869,11,1
501945,11,1
5024500,11,1
5027952,11,1
5031308,11,1
5032048,11,1
5032851,11,1
5039603,11,1
5048432,11,1
5048475,11,1
5049405,11,1
5050492,11,1
5062613,11,1
5063886,11,1
5065172,11,1
5071926,11,1
5073362,11,1
5073366,11,1
5074713,11,1
5078108,11,1
508122,11,1
510643,11,1
5110470,11,1
5111235,11,1
5114251,11,1
5114792,11,1
5117724,11,1
5124124,11,1
5125265,11,1
5125504,11,1
5133491,11,1
5133633,11,1
5145489,11,1
5152685,11,1
5157458,11,1
5161033,11,1
5162072,11,1
5166479,11,1
5177391,11,1
5179386,11,1
5179684,11,1
5179685,11,1
5182224,11,1
5195113,11,1
5203963,11,1
5204594,11,1
5204726,11,1
5212648,11,1
5216867,11,1
5216922,11,1
5222517,11,1
5227063,11,1
5227172,11,1
5230353,11,1
5233356,11,1
5245765,11,1
5250514,11,1
5250926,11,1
5254256,11,1
5255294,11,1
5255674,11,1
5255944,11,1
5261630,11,1
5261820,11,1
5273659,11,1
5278343,11,1
5282269,11,1
5282877,11,1
5284564,11,1
5287819,11,1
5288602,11,1
5291332,11,1
5303574,11,1
5306259,11,1
5308006,11,1
5308378,11,1
5308772,11,1
5309699,11,1
5312193,11,1
5313679,11,1
5316058,11,1
5317863,11,1
5319255,11,1
5322673,11,1
5326573,11,1
53289,11,1
5330681,11,1
5332270,11,1
5334952,11,1
5342182,11,1
5343511,11,1
5343775,11,1
5344492,11,1
5345541,11,1
5359746,11,1
5362779,11,1
5365386,11,1
5372561,11,1
5377993,11,1
537901,11,1
5380022,11,1
5381469,11,1
5381563,11,1
5383368,11,1
5385122,11,1
5386260,11,1
5390434,11,1
5396347,11,1
5398397,11,1
5399438,11,1
5399586,11,1
5415944,11,1
5415966,11,1
5418132,11,1
5419930,11,1
5429427,11,1
5441759,11,1
5452281,11,1
5456081,11,1
5463324,11,1
5467805,11,1
5469537,11,1
5473646,11,1
5473941,11,1
5484139,11,1
5486540,11,1
55077,11,1
5512483,11,1
5514972,11,1
5517563,11,1
5518824,11,1
5521470,11,1
5522791,11,1
5527351,11,1
5527876,11,1
5541700,11,1
5546463,11,1
5549741,11,1
5557587,11,1
5557600,11,1
5560088,11,1
5561536,11,1
5570534,11,1
557065,11,1
5583386,11,1
5593463,11,1
5599842,11,1
5601219,11,1
5601697,11,1
5602136,11,1
5606466,11,1
5611997,11,1
561237,11,1
5617729,11,1
5619720,11,1
5629352,11,1
5633703,11,1
5640137,11,1
5640146,11,1
5646142,11,1
5649189,11,1
5649204,11,1
5651438,11,1
5656623,11,1
5688022,11,1
5696779,11,1
569941,11,1
5708345,11,1
5709695,11,1
5726035,11,1
5726081,11,1
5727905,11,1
5729878,11,1
5740129,11,1
5742599,11,1
5748589,11,1
5749205,11,1
5750925,11,1
575624,11,1
5762689,11,1
